Team Number,Team Name,Location
122,NASA Knights,"Hampton, VA"
384,Sparky 384,"Henrico, VA"
401,Copperhead Robotics,"Christiansburg, VA"
977,Cometbots,"South Boston, VA"
1262,the STAGS,"Martinsville, VA"
1413,Skrappy 1413,"Skipwith, VA"
1629,Garrett Coalition (GaCo),"Accident, MD"
1915,MTHS Firebird Robotics,"Washington, D.C."
2640,HOTBOTZ,"Reidsville, NC"
3258,MADAWGS,"Martinsville, VA"
3939,Botetourt 4-H Robotics,"Buchanan, VA"
5724,Spartan Robotics,"Salem, VA"
5950,Trojans,"Dry Fork, VA"
6802,Mean Caimans,"Cedar Bluff, VA"
9997,NASA Knights - Second Robot,"Hampton, VA"
9998,Copperhead Robotics - Second Robot,"Christiansburg, VA"
9999,Spartan Robotics - Freshbot,"Salem, VA"
